seed,initial_x,env_reward,other_reward,reward,duration,loss,loss_RND
9672165,-0.5650787949562073,-200.0,-44.652268653377305,-244.6522686533774,200,0.0033691732661100104,1.8333160074046617e-07
351627283,-0.4319843649864197,-200.0,-55.101634210451465,-255.10163421045132,200,0.0033630694981548,1.5546232518315328e-07
1497730906,-0.5408379435539246,-200.0,-28.443996459647817,-228.4439964596478,200,0.0034405764887924305,1.8158928289713216e-07
99230569,-0.5627570152282715,-200.0,93.18520363321014,-106.81479636678976,200,0.004352075554197654,1.70096719982471e-07
914333542,-0.4105163812637329,-200.0,-51.05033164161182,-251.05033164161185,200,0.0070696227235021065,1.8473053901235658e-07
1899570110,-0.4054981470108032,-200.0,95.2930940182105,-104.70690598178949,200,0.008959116833284497,2.023985618704316e-07
1901984732,-0.5498105883598328,-200.0,8.91274392144726,-191.0872560785528,200,0.010512023192131893,2.3620550278824482e-07
135727780,-0.5836160182952881,-200.0,-27.09229315659943,-227.09229315659945,200,0.011618123990483582,1.592011410145311e-07
302573113,-0.4337713420391083,-200.0,-59.04128784265934,-259.0412878426592,200,0.013066011588089168,1.6047064553381672e-07
2126916134,-0.42896750569343567,-200.0,-55.1702807210283,-255.17028072102843,200,0.011634508415590971,1.6946559228125935e-07
839613371,-0.47957155108451843,-200.0,-3.714999712857396,-203.71499971285743,200,0.011859875153750182,1.9393514392174182e-07
337186085,-0.5049585103988647,-200.0,-45.818088346300115,-245.81808834630016,200,0.013790491707623006,1.5702282232687992e-07
2104974357,-0.5797487497329712,-200.0,101.48867680589233,-98.51132319410759,200,0.015795779093168677,2.1974890761500277e-07
720613576,-0.5084887742996216,-200.0,-59.32967458296296,-259.32967458296304,200,0.013980156085453927,2.261754766141877e-07
420259361,-0.5283495783805847,-200.0,-55.68327408777027,-255.68327408777023,200,0.014956968871410936,1.9635105935611463e-07
640693463,-0.5836525559425354,-200.0,15.138952540931326,-184.8610474590688,200,0.015384141358081251,1.1405390081709044e-07
695127481,-0.5931454300880432,-200.0,18.500394671448333,-181.49960532855152,200,0.015701243900693954,1.358149216423854e-07
1728831099,-0.45404550433158875,-200.0,-27.294350808065964,-227.29435080806596,200,0.01494670746382326,1.6346786745113918e-07
2133867665,-0.46882209181785583,-200.0,-56.27911515927986,-256.27911515927997,200,0.013600073435809464,1.2036007196902787e-07
847799477,-0.580129861831665,-200.0,108.17670085805156,-91.82329914194847,200,0.014783021986950189,2.349505453458356e-07
1908778021,-0.4311940670013428,-200.0,-60.705630662589115,-260.70563066258916,200,0.012430278749670834,1.2549850613163828e-07
222507812,-0.40938398241996765,-200.0,-49.30101980267323,-249.30101980267347,200,0.012042715193238109,1.3066434606301414e-07
1899775975,-0.573336660861969,-200.0,-43.35765108946932,-243.3576510894693,200,0.011386795658618212,1.561092401924924e-07
1695828706,-0.561074435710907,-200.0,-59.49675642626453,-259.4967564262644,200,0.011593160689808429,1.314020446629982e-07
534338063,-0.41616544127464294,-200.0,-47.26818875308482,-247.26818875308481,200,0.010446226235944777,2.4497442387749755e-07
1509906142,-0.45123422145843506,-200.0,-51.60099773500646,-251.60099773500644,200,0.009662243206985294,7.143168853973591e-08
1940013300,-0.534329354763031,-200.0,-62.429379369671274,-262.4293793696713,200,0.009059693271992728,1.4087862330702804e-07
736559768,-0.5151817202568054,-200.0,-37.96722984833064,-237.96722984833053,200,0.008858147378778086,1.5466290961496654e-07
579480980,-0.42915868759155273,-200.0,-61.61765936202369,-261.6176593620237,200,0.008006210505263879,1.4109184424571096e-07
1481925338,-0.40850013494491577,-200.0,-35.853719218957714,-235.8537192189578,200,0.008041973568033427,1.3966652739672014e-07
1157963994,-0.40981587767601013,-200.0,-61.560478580251704,-261.5604785802518,200,0.008173677459126338,1.3834967284243048e-07
896548759,-0.49715474247932434,-200.0,-16.536324700719028,-216.5363247007191,200,0.008113731518387795,1.0969807167748869e-07
1467361458,-0.5709956288337708,-200.0,-38.27985637399076,-238.27985637399075,200,0.007736212082090787,1.4244810789376672e-07
1659085288,-0.44064199924468994,-200.0,-54.09374810655023,-254.0937481065502,200,0.007068942507030443,1.1215549934551206e-07
1634930689,-0.4728687107563019,-200.0,-62.11693166493738,-262.11693166493745,200,0.00740734860766679,1.7866587238790642e-07
884361511,-0.5225621461868286,-200.0,-60.58927143656851,-260.5892714365686,200,0.008177659849752671,1.2813112736820287e-07
